roll_#,start_date,end_date,days_lasted,avg_sheets_per_day,avg_cost_per_day
1,2007-04-11,2007-04-16,5,200.0,0.21
2,2007-04-16,2007-04-26,10,100.0,0.11
3,2007-04-26,2007-05-02,6,166.7,0.18
4,2007-05-02,2007-05-08,6,166.7,0.18
5,2007-05-08,2007-05-14,6,166.7,0.18
6,2007-05-14,2007-05-22,8,125.0,0.13
7,2007-05-22,2007-05-31,9,111.1,0.12
8,2007-05-31,2007-06-07,7,142.9,0.15
9,2007-06-07,2007-06-21,14,71.4,0.08
10,2007-06-21,2007-06-28,7,142.9,0.15
11,2007-06-28,2007-07-06,8,125.0,0.13
12,2007-07-08,2007-07-14,6,166.7,0.18
13,2007-07-15,2007-07-22,7,142.9,0.15
14,2007-07-22,2007-07-28,6,166.7,0.18
15,2007-07-28,2007-08-12,15,66.7,0.07
16,2007-08-13,2007-08-20,7,142.9,0.15
17,2007-08-20,2007-08-23,3,333.3,0.36
18,2007-08-23,2007-08-29,6,166.7,0.18
19,2007-08-29,2007-09-05,7,142.9,0.15
20,2007-09-06,2007-09-12,6,166.7,0.18
21,2007-09-13,2007-09-21,8,125.0,0.13
22,2007-09-21,2007-09-28,7,142.9,0.15
23,2007-09-28,2007-10-08,10,100.0,0.11
24,2007-10-08,2007-10-13,5,200.0,0.21
25,2007-10-14,2007-10-20,6,166.7,0.18
26,2007-10-20,2007-10-26,6,166.7,0.18
27,2007-10-26,2007-11-03,8,125.0,0.13
28,2007-11-03,2007-11-09,6,166.7,0.18
29,2007-11-09,2007-11-16,7,142.9,0.15
30,2007-11-16,2007-11-23,7,142.9,0.15
31,2007-11-23,2007-11-29,6,166.7,0.18
32,2007-11-29,2007-12-03,4,250.0,0.27
33,2007-12-03,2007-12-10,7,142.9,0.15
34,2007-12-10,2007-12-19,9,111.1,0.12
35,2007-12-19,2007-12-24,5,200.0,0.21
36,2007-12-24,2007-12-29,5,200.0,0.21
37,2007-12-29,2008-01-06,8,125.0,0.13
38,2008-01-06,2008-01-13,7,142.9,0.15
39,2008-01-13,2008-01-20,7,142.9,0.15
40,2008-01-20,2008-01-28,8,125.0,0.13
41,2008-01-28,2008-02-06,9,111.1,0.12
42,2008-02-06,2008-02-13,7,142.9,0.15
43,2008-02-13,2008-02-22,9,111.1,0.12
44,2008-02-22,2008-03-04,11,90.9,0.1
45,2008-03-04,2008-03-11,7,142.9,0.15
46,2008-03-11,2008-03-17,6,166.7,0.18
47,2008-03-17,2008-03-25,8,125.0,0.13
48,2008-03-25,2008-04-01,7,142.9,0.15
49,2008-04-01,2008-04-14,13,76.9,0.08
